system:index,annual_prcp,.geo
0,255.89187465345657,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,265.18860516048056,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1521.733650664037,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,273.77253701266915,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1025.7158903032541,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1074.9909208070333,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1096.2354887541044,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1025.9731299822981,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,303.32810621234506,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1068.8016630736265,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1148.9028494971928,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1266.2166218730536,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1292.7567437480795,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1349.3466531376946,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,956.0448243550279,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,970.987824943132,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1047.5152314786208,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1097.2498231394725,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1242.7754195481539,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1301.1990268514915,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1440.810662732883,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,411.53732620856977,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1103.246077147397,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,983.6087364396079,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1023.3668040917678,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1041.983060231263,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1231.712054006078,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1385.8036727580156,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1399.162180859934,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1865.2984066497195,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2075.5326384251766,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2135.7751321006904,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,426.4551965093071,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,356.4105671603571,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1142.624735883691,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,958.5197185922608,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,972.6269433938644,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,894.4341132640839,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1124.235491447828,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1396.1465405659242,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1049.6462984735315,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1938.2816639678044,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2166.512173490091,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2258.5586173128,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2716.0820435800338,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,316.60163735801524,"{""type"":""MultiPoint"",""coordinates"":[]}"
